thscode,2023-11-15,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15
000012.SZ,1.2891344383057,-0.90909090909091,0.18348623853211,0.54945054945055,0.18214936247723,-0.36363636363636,0.91240875912408,-0.18083182640146,-0.18115942028985,0.90744101633394,-0.89928057553957,1.2704174228675,0.0,-0.17921146953405,-0.7181328545781,0.36166365280289,0.18018018018018,1.2589928057554,-0.71047957371226,0.17889087656529,-0.89285714285714,0.0,0.0
000014.SZ,-0.086355785837649,0.60501296456353,-0.08591065292096,-0.25795356835771,2.0689655172414,5.4898648648649,-1.1208967173739,-2.995951417004,-2.4207011686144,-0.59880239520958,-1.2048192771084,0.34843205574912,0.78125,-1.5503875968992,-2.0122484689414,2.5,1.0452961672474,-0.86206896551724,0.26086956521739,3.2957502168257,-1.9311502938707,5.9075342465753,-0.88924818108326
000016.SZ,-0.22988505747126,-0.46082949308755,0.92592592592593,0.22935779816513,-0.68649885583525,-0.69124423963134,1.3921113689095,-1.8306636155606,-0.46620046620048,0.70257611241218,-0.46511627906976,-1.6355140186916,-0.71258907363421,-0.47846889952152,-1.9230769230769,0.24509803921568,0.0,-1.7114914425428,1.4925373134328,0.24509803921568,-1.7114914425428,0.49751243781096,-0.74257425742575
000017.SZ,-0.4524886877828,-0.68181818181819,0.91533180778032,0.45351473922902,0.22573363431153,0.9009009009009,0.0,-1.1160714285714,0.22573363431153,0.0,0.9009009009009,-1.1160714285714,0.22573363431153,0.45045045045044,-1.5695067264574,1.8223234624146,-1.1185682326622,-3.1674208144796,1.4018691588785,2.5345622119816,-0.4494382022472,1.1286681715576,-0.89285714285714
000019.SZ,-0.54794520547945,0.0,0.0,1.2396694214876,0.0,1.2244897959184,-0.26881720430108,0.80862533692723,0.53475935828876,0.26595744680852,0.39787798408488,-0.1321003963012,-0.52910052910053,0.39893617021277,-0.39735099337749,1.063829787234,-0.52631578947368,-1.7195767195767,0.9421265141319,0.93333333333334,-0.52840158520476,1.726427622842,-1.9582245430809
000020.SZ,-0.15723270440253,-1.0236220472441,1.1137629276054,0.31471282454759,-1.0196078431373,-0.55467511885894,1.4342629482072,-0.62843676355067,1.5810276679842,1.1673151750973,0.3076923076923,-1.6871165644172,-1.1700468018721,0.0,-2.1310181531176,0.88709677419354,0.0,-1.0391686650679,0.96930533117932,0.48,1.2738853503185,-0.15723270440253,0.078740157480327
000021.SZ,1.5765765765766,-2.9379157427938,2.1130782410051,1.7337807606264,-4.3980208905992,-1.2075905692927,0.0,-3.6670547147846,1.0271903323263,0.29904306220096,4.830053667263,-2.7303754266211,-0.29239766081872,2.8739002932551,-4.7320410490308,-0.35906642728906,0.48048048048049,2.3311416616856,0.46728971962616,-0.23255813953488,-1.5151515151515,-1.1242603550296,0.29922202274088
000023.SZ,0.16,-1.2779552715655,1.294498381877,0.0,1.7571884984026,1.5698587127158,-0.92735703245749,-1.8720748829953,-0.15898251192369,-0.15923566878982,0.95693779904307,-3.001579778831,1.3029315960912,-0.32154340836012,-0.64516129032258,0.97402597402597,-0.32154340836012,0.48387096774194,0.80256821829855,-0.79617834394904,0.64205457463883,3.030303030303,0.0
000025.SZ,0.48134777376654,1.1976047904192,0.29585798816568,-0.47197640117993,-0.1185536455246,1.3056379821958,-0.64440538957235,-1.2382075471698,-1.3134328358209,2.0568663036903,-0.1185536455246,-2.0178041543027,1.1508176862507,0.59880239520959,-2.7976190476191,1.041028781384,-1.2121212121212,-1.7791411042945,1.1867582760774,2.283950617284,-0.12070006035003,0.18126888217521,-0.72376357056693
000026.SZ,-0.56726094003242,-2.6894865525672,1.4237855946399,1.7341040462428,-0.56818181818182,-0.73469387755102,0.32894736842105,-0.73770491803279,-0.66061106523534,-0.16625103906899,-1.165695253955,-1.095197978096,1.2776831345826,-0.42052144659378,-1.4358108108108,1.1139674378749,0.0,-2.2881355932204,0.86730268863835,1.8916595012898,-1.7721518987342,0.4295532646048,-0.85543199315654
000027.SZ,0.32310177705977,-0.80515297906602,-0.32467532467533,0.16286644951141,0.32520325203251,-0.16207455429497,0.97402597402597,-1.6077170418006,-0.16339869281045,0.49099836333878,-1.1400651465798,0.65897858319605,0.49099836333878,0.0,-1.3029315960912,-0.16501650165016,0.3305785123967,1.1532125205931,1.3029315960912,0.0,0.0,0.64308681672026,-1.1182108626198
