thscode,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-28,2023-08-29,2023-08-30,2023-08-31,2023-09-01,2023-09-04,2023-09-05,2023-09-06,2023-09-07,2023-09-08
000733.SZ,-0.70842235466098,-1.1325028312571,-0.35509736540665,1.1610529945971,-0.54545454545455,-1.2454296160877,-3.0544949670253,5.0960735171261,1.5898251192369,-1.4084507042253,1.9501133786848,-1.5791814946619,-0.57627118644068,-0.75008523695874,0.60689339287759,2.8226724334168,1.948195705114,-0.45602605863191,-0.81806282722513,-1.0557571758496,-2.1340446815605,0.034071550255538,0.44277929155313,4.9847405900305
000735.SZ,-0.44117647058824,-0.73855243722304,0.29761904761905,-2.0771513353116,-0.60606060606061,-1.0670731707317,0.15408320493066,0.76923076923077,-2.5954198473282,-1.8808777429467,0.15974440894568,0.15948963317385,0.95541401273885,0.78864353312303,0.93896713615024,0.31007751937984,-1.854714064915,-5.0393700787401,0.33167495854062,1.6528925619835,-1.1382113821138,-0.49342105263158,-1.1570247933884,-0.33444816053512
000736.SZ,-0.93770931011387,0.67613252197432,-0.20147750167899,2.6244952893674,-6.7540983606557,-0.35161744022504,5.2223006351447,-0.80482897384306,-3.3130493576741,-3.6363636363636,0.43541364296082,-3.9739884393064,-1.9563581640331,2.3791250959325,6.8965517241379,3.1556802244039,-1.2236573759347,-5.6434962147281,-1.0211524434719,0.2210759027266,-1.8382352941176,5.3183520599251,-3.3428165007112,-1.2509197939662
000737.SZ,0.33388981636059,-1.6638935108153,-0.50761421319797,-1.0204081632653,-0.6872852233677,-0.51903114186852,-1.0434782608696,0.0,-2.1089630931459,-0.35906642728906,-0.18018018018018,-1.4440433212996,0.54945054945055,-1.2750455373406,2.2140221402214,0.72202166064982,-0.35842293906811,-3.9568345323741,1.87265917603,9.9264705882353,-1.6722408026756,1.3605442176871,-1.8456375838926,-0.68376068376068
000738.SZ,0.22026431718062,-0.92307692307693,0.26619343389531,-0.84070796460178,0.53547523427042,-1.2871726586773,-0.53956834532373,3.1645569620253,-0.087642418930761,-1.7543859649123,0.49107142857144,-3.5539760106619,1.1054813450023,-0.86560364464691,-0.32169117647059,3.6883356385431,0.35571365051135,-0.70890562693841,-0.71396697902722,0.31460674157303,-0.98566308243727,1.8099547511312,-1.2888888888889,2.6114362899595
000739.SZ,0.93731693028705,1.0446894950667,1.2636415852958,-1.0209869540556,-0.34383954154727,5.5779183438758,-1.797385620915,-1.1092623405436,-2.2994952327538,-4.5350172215844,-1.0823812387252,-2.0060790273556,3.4739454094293,-1.1990407673861,2.4271844660194,4.9170616113744,-1.1857707509881,0.28571428571429,-0.056980056980066,0.0,-0.28506271379704,-1.600914808462,-2.4985473561883,-1.5494636471991
000750.SZ,-2.803738317757,-1.6826923076923,1.4669926650367,-2.8915662650602,-0.99255583126551,0.50125313283207,0.99750623441397,1.9753086419753,-3.6319612590799,-2.0100502512563,0.76923076923078,-3.0534351145038,0.78740157480314,0.0,2.8645833333333,-1.2658227848101,-1.7948717948718,-1.0443864229765,-0.7915567282322,0.26595744680852,-1.0610079575597,-0.2680965147453,-0.80645161290323,0.81300813008131
000751.SZ,-0.82191780821917,-1.9337016574586,-0.56338028169014,-2.8328611898017,0.0,-1.1661807580175,-1.1799410029499,2.089552238806,-2.3391812865497,-0.59880239520958,1.8072289156627,-2.0710059171598,2.1148036253776,-1.7751479289941,1.8072289156627,0.59171597633136,-1.7647058823529,-2.9940119760479,3.0864197530864,4.1916167664671,-0.28735632183907,-2.0172910662824,-2.9411764705882,0.30303030303031
000752.SZ,1.6393442622951,4.9853372434018,5.0279329608938,5.0531914893617,5.0632911392405,5.0602409638554,5.045871559633,5.0218340611354,-4.989604989605,5.0328227571116,-5.0,-5.0438596491228,-4.9653579676674,-4.9817739975699,-4.9872122762148,4.9798115746972,0.25641025641026,-4.9872122762148,4.9798115746972,5.0,0.73260073260074,-4.969696969697,3.5714285714286,-2.3399014778325
000753.SZ,-0.88691796008869,-1.5659955257271,2.0454545454545,-3.7861915367483,2.0833333333333,-0.90702947845805,0.68649885583525,2.0454545454545,-2.2271714922049,-1.1389521640091,0.46082949308757,1.1467889908257,-0.68027210884354,-0.2283105022831,-1.6018306636156,3.2558139534884,-0.9009009009009,-1.5909090909091,-0.23094688221709,1.6203703703704,5.2391799544419,1.2987012987013,-1.7094017094017,5.2173913043478
