thscode,2023-11-15,2023-11-16,2023-11-17,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15
000037.SZ,43462815.73,32474805.5,32661984.0,52772257.61,38367161.0,89483927.0,44178905.0,36537540.0,40561855.0,44251887.7,36628178.0,33871997.0,27489190.0,27863397.0,32065668.97,25910469.0,46475371.0,37816824.0,40401688.0,27760538.91,51392198.43,162728284.0,160430084.96
000039.SZ,217765394.34,155766915.17,221999251.83,205499952.78,128349343.52,133170030.17,158412530.07,147132751.29,134387340.67,150899429.03,176074576.41,151343029.2,230113421.71,229533884.58,137803921.1,194731979.82,197141548.7,150133689.97,174307557.65,91523816.72,74868037.8,80566582.49,112382253.4
000040.SZ,66722946.52,48287159.02,47900066.0,41142302.26,66968512.0,69854501.5,50157252.76,50698551.0,39032617.66,31209793.32,39495013.0,35972526.0,31012030.24,34616627.0,38353053.0,32430423.36,29591686.0,61313874.5,53770715.0,39574516.2,48338832.95,45717632.0,38288811.81
000042.SZ,26690334.0,26065508.48,12685022.1,37891531.35,44162790.69,50844821.26,43120776.68,49940740.54,47006937.0,42391874.02,46229755.25,19594395.0,42234782.0,35812185.0,34612663.0,41729231.55,66801991.89,68553799.09,59442675.0,48640799.53,29480767.01,18320838.0,41175742.0
000045.SZ,,,,471893339.0,290170015.26,631764295.11,416374562.76,218048721.67,111782973.21,134921681.7,105532195.74,78207260.8,73020314.68,72848430.75,74727424.99,66319895.0,60201615.0,66562485.52,59414509.0,54971268.0,62145731.0,54620062.0,45346171.0
000046.SZ,236426085.05,94221362.0,12837032.0,12605274.0,401425821.72,201632356.0,343361856.66,353264444.69,287141110.52,413544215.47,254590017.0,121898933.0,254201963.73,22319440.0,8796984.0,8128560.0,12249832.0,10825848.0,203602750.0,14000285.0,5167390.0,6203319.0,1328544.0
000048.SZ,45713485.0,40344617.45,63231552.0,79702668.59,114735483.02,157258391.43,91633245.0,120968765.92,90541079.4,56820965.6,34893253.7,46904039.45,37451796.0,113160925.08,126829575.0,153948405.14,93275410.89,74862066.52,48776881.0,100875755.99,48099592.14,51362656.44,48304396.96
000049.SZ,97462207.41,67381734.85,54723828.78,238663700.27,158090490.22,93326343.78,77593873.54,69709369.44,371425755.66,252655043.8,352796108.91,,,,,,,248831763.09,185295289.81,117471169.5,82549647.25,83032837.58,86113859.82
000050.SZ,232668954.22,133404645.58,149902974.33,131164787.54,129136848.6,83565035.0,96617048.0,74204179.38,144477321.36,247832565.62,467681128.56,283671154.04,189431148.82,199887152.93,160982130.27,142030463.36,196682617.03,157551747.03,202975813.91,141938254.62,71993963.86,93187396.75,90867930.73
000055.SZ,24273532.25,27947561.5,21446245.09,31113001.99,34954321.0,31823422.9,31684988.91,27253791.85,23875232.0,20017016.98,23702827.0,24837635.08,20391478.68,18932273.88,26557036.0,18436226.0,16613375.0,37141973.74,24204109.08,21022139.35,14950928.2,15632153.16,16242075.54
000056.SZ,54058396.0,1873504028.85,1420520809.12,1209576459.74,1522514419.56,1029749222.05,702312490.26,476930501.18,482713861.98,304343583.0,356659148.18,316828563.52,470799684.38,380808416.5,278209406.9,348171869.82,300105882.18,359390889.24,209804076.02,163766290.12,143954754.38,136773811.8,108872245.0
000058.SZ,447787739.27,278508484.98,241267076.25,214283260.95,426876257.73,583802296.25,906732719.97,619921863.51,301405802.46,191664626.68,233969837.68,171364266.22,191518563.93,175227042.77,138174342.71,115831356.0,130231048.17,167436447.57,80950395.05,77908371.24,75387254.99,213618218.14,121735546.9
000059.SZ,55194339.0,44240972.0,36907742.38,40217043.0,38364528.19,39149556.35,44365326.16,38410359.0,50462420.0,41209966.0,43935013.56,48906523.26,66034268.43,60855638.33,44434396.0,36549637.0,38711956.0,55558836.89,62538117.93,50435851.92,52154695.16,48295201.88,43829973.11
000060.SZ,180863880.46,123541721.62,91553669.06,129512765.51,168681299.15,112469539.9,100982762.5,81846995.6,126603198.56,109367713.93,116318079.27,152643926.38,108739957.9,167554956.68,160069380.28,113153915.87,107478739.25,106063540.29,119667146.82,76172426.81,81247246.27,101133579.26,134138736.78
000061.SZ,33553860.55,33604901.49,25006456.28,44909136.91,51517514.28,83294846.39,41107988.2,43986505.54,44790884.79,40122085.5,26760741.0,41912509.5,47873888.64,45716695.66,42815463.21,47533822.36,33467140.0,33596313.96,43803933.76,44268496.42,35329070.8,36388462.0,33509248.08
000062.SZ,55374866.5,40664626.75,38661686.54,40986517.85,53415347.24,45175963.3,45766622.28,46771588.86,43278500.88,35570227.01,37285611.8,36756164.45,34809723.57,35492578.0,42998132.81,31659629.57,24493254.0,30730633.49,38377357.28,32168208.65,25829776.25,25629729.67,26210823.6
000063.SZ,2279916660.76,1920478576.34,2000829979.96,2524484565.49,2242604660.28,2227314401.33,1629190783.1,1604611603.65,1307716644.14,1181186584.52,1199451361.62,1115456306.48,1997135199.88,1793891042.56,1782741939.57,1206727137.99,1308733223.67,3351592765.43,2507913556.49,1737617776.86,1475553060.67,3427085971.21,3825279752.45
000065.SZ,134196121.57,92243464.32,78238130.26,105582716.58,136544666.92,168031597.98,120146049.6,124052444.44,98509627.23,74499886.79,87284203.6,66262368.68,111264371.74,121694015.91,103167555.0,69296096.96,67591681.24,75622024.24,75678263.58,82159441.28,63849768.4,82874536.64,685935157.07
000066.SZ,3349384989.8,1944720614.11,1050614312.56,767039540.6,771229807.41,460623267.82,680025771.41,649695124.83,551316198.96,396688494.38,427177417.41,501657974.3,600321923.55,750275491.64,532088621.58,347580988.29,397928100.49,916263522.11,624245903.5,522221573.09,549676641.74,474748111.47,575075709.92
000068.SZ,66498917.6,35037563.0,31455578.0,37753688.0,151037150.82,124644803.77,61760475.0,106440048.2,76281011.0,40089459.0,38359390.0,36887579.0,31001224.1,37285419.4,36901775.0,33596827.0,31178930.66,28578177.0,28513871.32,19991680.4,20401932.44,39756919.36,29804417.06
000069.SZ,83652911.99,112060282.52,84060750.78,81164771.8,174264335.13,136474933.04,147799388.15,116393551.0,143103380.3,96263604.6,178251419.3,111986201.59,148026866.9,139660457.71,96250184.44,122048535.22,109058554.12,149214207.15,156051104.1,163850946.32,114494634.03,85868981.84,129014315.32
000070.SZ,559158280.81,334347527.84,288460071.18,268664873.53,820795180.29,914660161.72,531853163.65,363888153.55,266368726.5,183020091.58,223148334.68,156410173.31,208950823.08,201305678.08,152292075.77,170244056.34,157730233.89,387673408.85,241364848.63,192881048.44,155737516.39,134602320.1,162390364.74
000078.SZ,32446055.0,26924925.0,37713885.34,57371933.68,47762019.68,55157464.69,64774919.46,149771411.85,117097125.0,63363987.0,41046787.98,57303172.07,45727142.0,43339283.5,42455800.76,55102224.99,40003742.3,50590412.5,46901736.7,26828038.0,57702598.0,38846886.14,61075058.44
000088.SZ,29282764.69,19641629.05,18320387.28,26808493.44,43786454.25,147536070.91,86793599.35,61748575.67,43679370.68,31241874.11,33736700.18,29908872.71,51168731.74,56839624.53,40260902.92,44305638.24,29751502.2,48092826.86,51481265.28,32929687.77,35394237.5,29508404.0,31542349.44
000089.SZ,43752975.36,35348560.83,42991540.49,64642286.34,58464315.6,48003449.53,47331197.76,32071954.0,40305030.44,35936542.97,45397251.97,62848741.47,57893392.47,43669752.0,42033103.42,36123612.0,34960862.7,49475496.91,58185310.06,38712159.0,44384352.87,33675178.0,37529033.68
000090.SZ,293344869.64,148483622.96,123458286.18,124224725.23,214102531.89,233858347.07,285968521.86,194524010.34,169704494.98,125862735.42,246475069.95,102411787.28,89879620.13,112634113.44,177226755.35,92918395.36,116084839.66,168723102.01,151499479.83,130829772.07,149498512.39,94326944.92,121463575.4
000096.SZ,94425491.76,77590627.0,71265069.0,49208202.5,115474502.77,121965939.73,194047445.15,138012119.9,126961723.55,85541654.78,107499489.93,67274628.87,71725926.57,70795832.01,61255824.37,57253722.0,56101184.0,53120722.0,76500599.0,65575719.6,64990919.58,57184516.0,60437524.2
000099.SZ,63364112.12,55579941.0,52428697.72,69683474.2,60961648.84,48509287.63,52674075.83,50767736.95,49595106.52,40701866.92,55652908.68,50122794.32,50161933.67,95308615.79,61081093.92,56167163.0,42639119.26,63467457.0,51918765.5,41719502.47,355073161.25,168961969.05,124196068.56
000100.SZ,803759526.27,632822302.04,842133098.77,657080659.43,642629947.41,592724053.68,511905033.54,555405399.98,794708077.37,1007733811.14,707072578.55,769431781.87,696573952.94,623580623.14,793732048.07,752405199.67,738627181.54,1563370140.01,1518199023.16,826503946.27,669430486.88,633218972.74,838921639.7
000151.SZ,64511716.6,59238144.0,61290896.28,61963313.38,68801896.07,51282268.77,46497677.0,49854858.68,43801683.74,34280047.04,38986511.64,42028315.6,298113673.8,684954432.63,562750659.44,381528775.55,535429053.24,341163561.15,557518991.73,616020311.89,347343934.05,368979366.79,215059925.95
000153.SZ,65738625.0,64885621.0,71271899.0,92400316.44,79462129.0,111837233.9,168383921.69,220474656.48,209282782.47,140680592.3,95827150.0,87309608.0,101137800.0,91794027.2,74144952.83,62808479.92,84587081.0,83517660.0,77289304.0,50434980.17,112831170.99,72287138.67,59449977.59
000155.SZ,549896955.49,581562402.85,805281980.13,352074912.62,258701827.31,192767394.43,194857554.0,154583733.34,151099800.17,123593292.68,128052894.7,226175563.72,153617212.45,150507199.3,579380598.67,1428155160.06,732425722.51,408398352.5,395952465.33,265501033.68,281160440.55,309570893.58,542257358.18
000156.SZ,53857749.0,82490594.72,106342384.76,70092849.64,121247743.92,304765733.09,153888266.37,130386337.41,108838706.0,62246930.0,71373962.1,51650005.84,124829219.0,101522852.0,71440544.54,86782748.31,127218224.18,104111200.61,128794678.94,168859658.78,104375127.62,124832295.0,103683490.5
000157.SZ,141340866.07,147382739.73,113573314.48,127087862.06,169094702.38,141948376.56,116285193.58,92993947.0,144369274.0,149958808.09,134205966.87,167152589.73,140141667.94,129570527.55,153893311.54,112285433.62,152189007.55,180418576.86,178327822.1,83496282.1,121477563.2,132550846.54,115693312.13
000158.SZ,2284232652.46,1825865579.85,1247496179.44,1033731571.2,1625419184.16,996185540.14,930481797.26,915135802.73,566470671.63,521180168.23,814413261.28,648276919.39,552090964.86,765443726.96,604343326.81,735649918.15,411237485.07,441234342.74,574027816.26,759782333.28,528469919.62,436921251.88,385113180.5
000159.SZ,32054979.76,23394784.0,48410617.0,39915704.0,43139784.35,37714955.6,30478771.91,27807129.0,45702800.0,31439038.9,23143831.61,29353548.58,32173455.16,35274985.72,32960317.0,36350694.64,32377802.84,30344358.15,37421265.0,24441319.5,19379849.5,39643134.86,25593520.0
000166.SZ,604384868.63,307718153.34,244056519.72,286347933.72,266610821.88,176103164.45,175109289.69,292182596.26,330651714.96,208304175.82,244189110.63,203138321.65,285332218.8,273868859.97,324277143.95,213926852.81,304699506.04,261262316.1,354815686.32,201055821.53,191493822.27,155564479.75,200075462.07
000301.SZ,168529702.08,175903161.36,133117104.65,176091594.86,179804098.53,154527161.35,108986163.84,102683040.76,152254966.45,112148490.17,93110835.73,111280504.32,175773920.4,153695500.62,139802679.67,128923919.45,181872956.0,151827021.19,298131712.41,399452888.18,230179926.31,156005480.01,203730906.8
000333.SZ,1010107977.71,1121013154.61,697252679.61,955124720.21,836507593.72,511071755.33,529662622.99,822539515.14,827425455.6,1138681640.65,646048742.16,664815260.93,1604750726.7,1107559873.5,1120255577.3,942351431.42,1251685066.74,1102240031.34,1272635678.21,879672020.1,652164458.2,847402712.77,1034871741.97
000338.SZ,807242843.22,524468250.71,686347811.1,877026891.87,1129387949.67,705348992.36,645309034.5,550352130.94,599527613.33,828362677.62,607294727.14,786077449.73,2226538405.26,1038213810.34,616557831.35,553767748.61,446978330.33,522088219.02,513385867.91,398143063.06,393711739.74,543707397.98,431545694.28
000400.SZ,114749017.22,128184674.13,131415921.0,241763668.82,189670231.05,158603725.62,143105225.96,127138909.62,406235899.65,193149404.98,566232286.0,228664702.0,155747287.44,248153503.83,147939443.38,212345469.86,141051095.61,122579609.85,263335013.33,114254982.43,287029941.9,199844479.66,164322220.45
000401.SZ,59600852.15,46935020.45,40215481.2,46265670.0,58238374.4,47976448.16,49042215.99,51150915.65,53952458.44,49422137.29,47596943.88,33560510.36,40146898.88,34175368.6,45223559.45,76030618.9,73711395.72,111505239.09,81960195.41,39291939.65,34075358.0,33129681.0,43385824.14
000402.SZ,35720062.0,43211874.29,36947338.37,39615459.19,77995569.9,73951065.46,83837063.0,55107203.58,68463624.65,50514557.15,63451072.0,61261129.41,69996360.43,79004692.14,50709241.76,56910299.93,70027650.76,117492779.75,99025165.07,93346700.98,49881528.1,51559663.22,68867843.56
